date,venue,race_no,race_id,bet_type,bet_label,candidate_rank,buy,prob,odds_used,expected_profit_100yen,is_selected,stake_yen,return_if_hit_yen,profit_if_hit_yen,loss_amount_yen,expected_profit_yen,purchase_authorized,authorization_reason,prediction_file,prediction_created_at_jst,actual_trifecta,actual_trifecta_odds,race_status,decided_at,result_source_url,actual_trio,actual_exacta,actual_quinella,actual_bracket_exacta,actual_bracket_quinella,actual_quinella_place,payouts_trifecta_json,payouts_trio_json,payouts_exacta_json,payouts_quinella_json,payouts_quinella_place_json,payouts_bracket_exacta_json,payouts_bracket_quinella_json,start_at,close_at,actual_for_bet_type,is_decided,is_hit,seconds_before_close,is_prospective,evaluation_status,actual_return_yen,actual_profit_yen
2026-07-10,いわき平,8,081320260710,exacta,2車単,1,1-3,0.3515000830445613,35.1,1134,True,400,14040.0,13640.0,400,4536.0,False,external holdout ROI target was not met,shadow_bets_20260710.csv,2026-07-10T21:47:31+09:00,3-2-1,19.0,3,1783693385,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071013/1/8,1-2-3,3-2,2-3,3-2,2-3,1-2|1-3|2-3,"{""3-2-1"": 1900}","{""1-2-3"": 170}","{""3-2"": 1490}","{""2-3"": 890}","{""1-2"": 100, ""1-3"": 160, ""2-3"": 150}",{},{},1783692600.0,1783692300.0,3-2,True,False,4649.0,True,締切前予想,0.0,-400.0
2026-07-10,いわき平,8,081320260710,exacta,2車単,3,1-5,0.1623139157573946,58.5,850,True,300,17550.0,17250.0,300,2550.0,False,external holdout ROI target was not met,shadow_bets_20260710.csv,2026-07-10T21:47:31+09:00,3-2-1,19.0,3,1783693385,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071013/1/8,1-2-3,3-2,2-3,3-2,2-3,1-2|1-3|2-3,"{""3-2-1"": 1900}","{""1-2-3"": 170}","{""3-2"": 1490}","{""2-3"": 890}","{""1-2"": 100, ""1-3"": 160, ""2-3"": 150}",{},{},1783692600.0,1783692300.0,3-2,True,False,4649.0,True,締切前予想,0.0,-300.0
2026-07-10,いわき平,8,081320260710,quinella,2車複,1,1-3,0.3910448692831518,147.7,5676,True,500,73850.0,73350.0,500,28380.0,False,external holdout ROI target was not met,shadow_bets_20260710.csv,2026-07-10T21:47:31+09:00,3-2-1,19.0,3,1783693385,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071013/1/8,1-2-3,3-2,2-3,3-2,2-3,1-2|1-3|2-3,"{""3-2-1"": 1900}","{""1-2-3"": 170}","{""3-2"": 1490}","{""2-3"": 890}","{""1-2"": 100, ""1-3"": 160, ""2-3"": 150}",{},{},1783692600.0,1783692300.0,2-3,True,False,4649.0,True,締切前予想,0.0,-500.0
2026-07-10,いわき平,8,081320260710,quinella,2車複,3,1-5,0.1801492659947078,221.6,3892,True,500,110800.0,110300.0,500,19460.0,False,external holdout ROI target was not met,shadow_bets_20260710.csv,2026-07-10T21:47:31+09:00,3-2-1,19.0,3,1783693385,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071013/1/8,1-2-3,3-2,2-3,3-2,2-3,1-2|1-3|2-3,"{""3-2-1"": 1900}","{""1-2-3"": 170}","{""3-2"": 1490}","{""2-3"": 890}","{""1-2"": 100, ""1-3"": 160, ""2-3"": 150}",{},{},1783692600.0,1783692300.0,2-3,True,False,4649.0,True,締切前予想,0.0,-500.0
2026-07-10,いわき平,8,081320260710,trifecta,3連単,4,1-5-3,0.0781598197012492,132.4,935,True,400,52960.0,52560.0,400,3740.0,False,external holdout ROI target was not met,shadow_bets_20260710.csv,2026-07-10T21:47:31+09:00,3-2-1,19.0,3,1783693385,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071013/1/8,1-2-3,3-2,2-3,3-2,2-3,1-2|1-3|2-3,"{""3-2-1"": 1900}","{""1-2-3"": 170}","{""3-2"": 1490}","{""2-3"": 890}","{""1-2"": 100, ""1-3"": 160, ""2-3"": 150}",{},{},1783692600.0,1783692300.0,3-2-1,True,False,4649.0,True,締切前予想,0.0,-400.0
2026-07-10,いわき平,9,091320260710,exacta,2車単,1,6-2,0.0600196646375702,180.0,980,True,400,72000.0,71600.0,400,3920.0,False,external holdout ROI target was not met,shadow_bets_20260710.csv,2026-07-10T21:47:31+09:00,2-1-6,40.0,3,1783694676,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071013/1/9,1-2-6,2-1,1-2,2-1,1-2,1-2|1-6|2-6,"{""2-1-6"": 4000}","{""1-2-6"": 340}","{""2-1"": 1260}","{""1-2"": 320}","{""1-2"": 180, ""1-6"": 170, ""2-6"": 360}",{},{},1783693800.0,1783693500.0,2-1,True,False,5849.0,True,締切前予想,0.0,-400.0
2026-07-10,前橋,4,042220260710,quinella_place,ワイド,5,5-6,0.135392324105621,38.3,419,True,200,7660.0,7460.0,200,838.0,False,external holdout ROI target was not met,shadow_bets_20260710.csv,2026-07-10T21:47:31+09:00,5-2-4,166.0,3,1783654299,https://www.winticket.jp/keirin/maebashi/racecard/2026071022/1/4,2-4-5,5-2,2-5,5-2,2-5,2-4|2-5|4-5,"{""5-2-4"": 16600}","{""2-4-5"": 5100}","{""5-2"": 4260}","{""2-5"": 1840}","{""2-4"": 600, ""2-5"": 330, ""4-5"": 510}",{},{},1783653720.0,1783653420.0,2-4|2-5|4-5,True,False,-34231.0,False,締切後のため除外,0.0,-200.0
2026-07-10,前橋,4,042220260710,trio,3連複,1,1-5-6,0.1345211074161472,75.2,912,True,400,30080.0,29680.0,400,3648.0,False,external holdout ROI target was not met,shadow_bets_20260710.csv,2026-07-10T21:47:31+09:00,5-2-4,166.0,3,1783654299,https://www.winticket.jp/keirin/maebashi/racecard/2026071022/1/4,2-4-5,5-2,2-5,5-2,2-5,2-4|2-5|4-5,"{""5-2-4"": 16600}","{""2-4-5"": 5100}","{""5-2"": 4260}","{""2-5"": 1840}","{""2-4"": 600, ""2-5"": 330, ""4-5"": 510}",{},{},1783653720.0,1783653420.0,2-4-5,True,False,-34231.0,False,締切後のため除外,0.0,-400.0
2026-07-10,名古屋,8,084220260710,exacta,2車単,4,2-3,0.053977445212191,180.7,875,True,300,54210.0,53910.0,300,2625.0,False,external holdout ROI target was not met,shadow_bets_20260710.csv,2026-07-10T21:47:31+09:00,2-1-7,42.1,3,1783692626,https://www.winticket.jp/keirin/nagoya/racecard/2026071042/1/8,1-2-7,2-1,1-2,2-1,1-2,1-2|1-7|2-7,"{""2-1-7"": 4210}","{""1-2-7"": 1780}","{""2-1"": 300}","{""1-2"": 120}","{""1-2"": 100, ""1-7"": 1790, ""2-7"": 1700}",{},{},1783692000.0,1783691700.0,2-1,True,False,4049.0,True,締切前予想,0.0,-300.0
2026-07-10,名古屋,8,084220260710,exacta,2車単,3,2-6,0.061297343428663,180.7,1008,True,400,72280.0,71880.0,400,4032.0,False,external holdout ROI target was not met,shadow_bets_20260710.csv,2026-07-10T21:47:31+09:00,2-1-7,42.1,3,1783692626,https://www.winticket.jp/keirin/nagoya/racecard/2026071042/1/8,1-2-7,2-1,1-2,2-1,1-2,1-2|1-7|2-7,"{""2-1-7"": 4210}","{""1-2-7"": 1780}","{""2-1"": 300}","{""1-2"": 120}","{""1-2"": 100, ""1-7"": 1790, ""2-7"": 1700}",{},{},1783692000.0,1783691700.0,2-1,True,False,4049.0,True,締切前予想,0.0,-400.0
2026-07-10,名古屋,8,084220260710,quinella,2車複,2,2-3,0.0835857499616959,177.9,1387,True,500,88950.0,88450.0,500,6935.0,False,external holdout ROI target was not met,shadow_bets_20260710.csv,2026-07-10T21:47:31+09:00,2-1-7,42.1,3,1783692626,https://www.winticket.jp/keirin/nagoya/racecard/2026071042/1/8,1-2-7,2-1,1-2,2-1,1-2,1-2|1-7|2-7,"{""2-1-7"": 4210}","{""1-2-7"": 1780}","{""2-1"": 300}","{""1-2"": 120}","{""1-2"": 100, ""1-7"": 1790, ""2-7"": 1700}",{},{},1783692000.0,1783691700.0,1-2,True,False,4049.0,True,締切前予想,0.0,-500.0
2026-07-11,いわき平,5,051320260711,trio,3連複,1,2-4-7,0.1866760607309078,50.2,837,True,300,15060.0,14760.0,300,2511.0,False,external holdout ROI target was not met,shadow_bets_20260711.csv,2026-07-11T15:07:41+09:00,2-3-4,11.4,3,1783776254,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071013/2/5,2-3-4,2-3,2-3,2-3,2-3,2-3|2-4|3-4,"{""2-3-4"": 1140}","{""2-3-4"": 250}","{""2-3"": 500}","{""2-3"": 210}","{""2-3"": 140, ""2-4"": 140, ""3-4"": 250}",{},{},1783775400.0,1783775100.0,2-3-4,True,False,25039.0,True,締切前予想,0.0,-300.0
2026-07-11,伊東,4,043720260711,quinella_place,ワイド,4,3-7,0.2371299997824369,34.7,723,True,300,10410.0,10110.0,300,2169.0,False,external holdout ROI target was not met,shadow_bets_20260711.csv,2026-07-11T15:07:41+09:00,4-3-1,23.3,3,1783757753,https://www.winticket.jp/keirin/ito/racecard/2026071037/2/4,1-3-4,4-3,3-4,4-3,3-4,1-3|1-4|3-4,"{""4-3-1"": 2330}","{""1-3-4"": 640}","{""4-3"": 1280}","{""3-4"": 630}","{""1-3"": 270, ""1-4"": 280, ""3-4"": 420}",{},{},1783757160.0,1783756860.0,1-3|1-4|3-4,True,False,6799.0,True,締切前予想,0.0,-300.0
2026-07-12,いわき平,4,041320260712,trifecta,3連単,4,1-3-7,0.0743458150262952,164.2,1121,True,400,65680.0,65280.0,400,4484.0,False,external holdout ROI target was not met,shadow_bets_20260712.csv,2026-07-12T16:22:44+09:00,3-1-7,133.5,3,1783861593,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071013/3/4,1-3-7,3-1,1-3,3-1,1-3,1-3|1-7|3-7,"{""3-1-7"": 13350}","{""1-3-7"": 1150}","{""3-1"": 2460}","{""1-3"": 960}","{""1-3"": 190, ""1-7"": 170, ""3-7"": 800}",{},{},1783860600.0,1783860300.0,3-1-7,True,False,19336.0,True,締切前予想,0.0,-400.0
2026-07-12,いわき平,9,091320260712,quinella_place,ワイド,2,1-2,0.3906401714260553,13.2,416,True,200,2640.0,2440.0,200,832.0,False,external holdout ROI target was not met,shadow_bets_20260712.csv,2026-07-12T16:22:44+09:00,2-7-3,181.7,3,1783867563,https://www.winticket.jp/keirin/iwakidaira/racecard/2026071013/3/9,2-3-7,2-7,2-7,2-6,2-6,2-3|2-7|3-7,"{""2-7-3"": 18170}","{""2-3-7"": 1080}","{""2-7"": 4930}","{""2-7"": 2610}","{""2-3"": 260, ""2-7"": 420, ""3-7"": 230}",{},{},1783866600.0,1783866300.0,2-3|2-7|3-7,True,False,25336.0,True,締切前予想,0.0,-200.0
2026-07-12,名古屋,5,054220260712,trifecta,3連単,1,3-1-2,0.1237760174774266,229.2,2737,True,500,114600.0,114100.0,500,13685.0,False,external holdout ROI target was not met,shadow_bets_20260712.csv,2026-07-12T16:22:44+09:00,3-6-1,13.8,3,1783861848,https://www.winticket.jp/keirin/nagoya/racecard/2026071042/3/5,1-3-6,3-6,3-6,3-6,3-6,1-3|1-6|3-6,"{""3-6-1"": 1380}","{""1-3-6"": 190}","{""3-6"": 810}","{""3-6"": 590}","{""1-3"": 130, ""1-6"": 140, ""3-6"": 150}",{},{},1783861200.0,1783860900.0,3-6-1,True,False,19936.0,True,締切前予想,0.0,-500.0
2026-07-12,名古屋,5,054220260712,trifecta,3連単,2,3-1-4,0.0981101718842184,191.0,1774,True,500,95500.0,95000.0,500,8870.0,False,external holdout ROI target was not met,shadow_bets_20260712.csv,2026-07-12T16:22:44+09:00,3-6-1,13.8,3,1783861848,https://www.winticket.jp/keirin/nagoya/racecard/2026071042/3/5,1-3-6,3-6,3-6,3-6,3-6,1-3|1-6|3-6,"{""3-6-1"": 1380}","{""1-3-6"": 190}","{""3-6"": 810}","{""3-6"": 590}","{""1-3"": 130, ""1-6"": 140, ""3-6"": 150}",{},{},1783861200.0,1783860900.0,3-6-1,True,False,19936.0,True,締切前予想,0.0,-500.0
2026-07-12,名古屋,9,094220260712,exacta,2車単,1,6-7,0.1634490221123522,108.3,1670,True,500,54150.0,53650.0,500,8350.0,False,external holdout ROI target was not met,shadow_bets_20260712.csv,2026-07-12T16:22:44+09:00,3-6-1,65.9,3,1783866703,https://www.winticket.jp/keirin/nagoya/racecard/2026071042/3/9,1-3-6,3-6,3-6,3-6,3-6,1-3|1-6|3-6,"{""3-6-1"": 6590}","{""1-3-6"": 1810}","{""3-6"": 1710}","{""3-6"": 900}","{""1-3"": 240, ""1-6"": 370, ""3-6"": 290}",{},{},1783866000.0,1783865700.0,3-6,True,False,24736.0,True,締切前予想,0.0,-500.0
2026-07-12,名古屋,9,094220260712,quinella_place,ワイド,1,6-7,0.4991387309697128,12.0,499,True,200,2400.0,2200.0,200,998.0,False,external holdout ROI target was not met,shadow_bets_20260712.csv,2026-07-12T16:22:44+09:00,3-6-1,65.9,3,1783866703,https://www.winticket.jp/keirin/nagoya/racecard/2026071042/3/9,1-3-6,3-6,3-6,3-6,3-6,1-3|1-6|3-6,"{""3-6-1"": 6590}","{""1-3-6"": 1810}","{""3-6"": 1710}","{""3-6"": 900}","{""1-3"": 240, ""1-6"": 370, ""3-6"": 290}",{},{},1783866000.0,1783865700.0,1-3|1-6|3-6,True,False,24736.0,True,締切前予想,0.0,-200.0
2026-07-12,松山,7,077520260712,trifecta,3連単,2,4-1-3,0.1086658178877797,83.8,811,True,300,25140.0,24840.0,300,2433.0,False,external holdout ROI target was not met,shadow_bets_20260712.csv,2026-07-12T16:22:44+09:00,3-7-4,60.4,3,1783849306,https://www.winticket.jp/keirin/matsuyama/racecard/2026071175/2/7,3-4-7,3-7,3-7,3-6,3-6,3-4|3-7|4-7,"{""3-7-4"": 6040}","{""3-4-7"": 1160}","{""3-7"": 2260}","{""3-7"": 1110}","{""3-4"": 310, ""3-7"": 280, ""4-7"": 400}",{},{},1783848600.0,1783848300.0,3-7-4,True,False,7336.0,True,締切前予想,0.0,-300.0
2026-07-12,松山,9,097520260712,quinella_place,ワイド,2,1-4,0.4016500209804317,17.0,583,True,200,3400.0,3200.0,200,1166.0,False,external holdout ROI target was not met,shadow_bets_20260712.csv,2026-07-12T16:22:44+09:00,1-7-5,6.7,3,1783852346,https://www.winticket.jp/keirin/matsuyama/racecard/2026071175/2/9,1-5-7,1-7,1-7,1-6,1-6,1-5|1-7|5-7,"{""1-7-5"": 670}","{""1-5-7"": 290}","{""1-7"": 310}","{""1-7"": 140}","{""1-5"": 290, ""1-7"": 140, ""5-7"": 270}",{},{},1783851720.0,1783851420.0,1-5|1-7|5-7,True,False,10456.0,True,締切前予想,0.0,-200.0
2026-07-13,京王閣,5,052720260713,trio,3連複,1,1-2-5,0.3833583656778525,40.7,1460,True,500,20350.0,19850.0,500,7300.0,False,external holdout ROI target was not met,shadow_bets_20260713.csv,2026-07-13T17:40:22+09:00,1-6-5,32.3,3,1783948814,https://www.winticket.jp/keirin/keiokaku/racecard/2026071327/1/5,1-5-6,1-6,1-6,1-6,1-6,1-5|1-6|5-6,"{""1-6-5"": 3230}","{""1-5-6"": 480}","{""1-6"": 1430}","{""1-6"": 1220}","{""1-5"": 230, ""1-6"": 230, ""5-6"": 450}",{},{},1783948200.0,1783947900.0,1-5-6,True,False,15878.0,True,締切前予想,0.0,-500.0
2026-07-13,京王閣,6,062720260713,trifecta,3連単,2,6-1-4,0.0876464158145383,142.4,1148,True,400,56960.0,56560.0,400,4592.0,False,external holdout ROI target was not met,shadow_bets_20260713.csv,2026-07-13T17:40:22+09:00,1-6-3,22.2,3,1783950064,https://www.winticket.jp/keirin/keiokaku/racecard/2026071327/1/6,1-3-6,1-6,1-6,1-6,1-6,1-3|1-6|3-6,"{""1-6-3"": 2220}","{""1-3-6"": 300}","{""1-6"": 1160}","{""1-6"": 250}","{""1-3"": 240, ""1-6"": 160, ""3-6"": 170}",{},{},1783949400.0,1783949100.0,1-6-3,True,False,17078.0,True,締切前予想,0.0,-400.0
2026-07-13,京王閣,8,082720260713,quinella_place,ワイド,3,2-3,0.4246851247853913,10.2,333,True,200,2040.0,1840.0,200,666.0,False,external holdout ROI target was not met,shadow_bets_20260713.csv,2026-07-13T17:40:22+09:00,2-1-3,12.8,3,1783952344,https://www.winticket.jp/keirin/keiokaku/racecard/2026071327/1/8,1-2-3,2-1,1-2,2-1,1-2,1-2|1-3|2-3,"{""2-1-3"": 1280}","{""1-2-3"": 490}","{""2-1"": 280}","{""1-2"": 140}","{""1-2"": 100, ""1-3"": 290, ""2-3"": 310}",{},{},1783951800.0,1783951500.0,1-2|1-3|2-3,True,True,19478.0,True,締切前予想,620.0,420.0
2026-07-13,京王閣,8,082720260713,trio,3連複,3,1-2-7,0.1525987118497166,69.0,953,True,400,27600.0,27200.0,400,3812.0,False,external holdout ROI target was not met,shadow_bets_20260713.csv,2026-07-13T17:40:22+09:00,2-1-3,12.8,3,1783952344,https://www.winticket.jp/keirin/keiokaku/racecard/2026071327/1/8,1-2-3,2-1,1-2,2-1,1-2,1-2|1-3|2-3,"{""2-1-3"": 1280}","{""1-2-3"": 490}","{""2-1"": 280}","{""1-2"": 140}","{""1-2"": 100, ""1-3"": 290, ""2-3"": 310}",{},{},1783951800.0,1783951500.0,1-2-3,True,False,19478.0,True,締切前予想,0.0,-400.0
2026-07-13,広島,7,076220260713,quinella_place,ワイド,2,1-6,0.7244884543255463,8.5,516,True,200,1700.0,1500.0,200,1032.0,False,external holdout ROI target was not met,shadow_bets_20260713.csv,2026-07-13T17:40:22+09:00,6-3-7,31.6,3,1783950464,https://www.winticket.jp/keirin/hiroshima/racecard/2026071362/1/7,3-6-7,6-3,3-6,6-3,3-6,3-6|3-7|6-7,"{""6-3-7"": 3160}","{""3-6-7"": 1690}","{""6-3"": 660}","{""3-6"": 620}","{""3-6"": 300, ""3-7"": 1380, ""6-7"": 690}",{},{},1783950000.0,1783949700.0,3-6|3-7|6-7,True,False,17678.0,True,締切前予想,0.0,-200.0
2026-07-14,京王閣,1,012720260714,quinella_place,ワイド,1,3-5,0.338466021520298,12.2,313,True,200,2440.0,2240.0,200,626.0,False,external holdout ROI target was not met,shadow_bets_20260714.csv,2026-07-14T15:02:42+09:00,1-3-6,41.8,3,1784030399,https://www.winticket.jp/keirin/keiokaku/racecard/2026071327/2/1,1-3-6,1-3,1-3,1-3,1-3,1-3|1-6|3-6,"{""1-3-6"": 4180}","{""1-3-6"": 1390}","{""1-3"": 410}","{""1-3"": 260}","{""1-3"": 170, ""1-6"": 620, ""3-6"": 640}",{},{},1784029800.0,1784029500.0,1-3|1-6|3-6,True,False,20538.0,True,締切前予想,0.0,-200.0
2026-07-14,京王閣,2,022720260714,trifecta,3連単,4,1-2-3,0.0789614444046696,193.8,1430,True,500,96900.0,96400.0,500,7150.0,False,external holdout ROI target was not met,shadow_bets_20260714.csv,2026-07-14T15:02:42+09:00,7-1-3,170.2,3,1784031560,https://www.winticket.jp/keirin/keiokaku/racecard/2026071327/2/2,1-3-7,7-1,1-7,6-1,1-6,1-3|1-7|3-7,"{""7-1-3"": 17020}","{""1-3-7"": 470}","{""7-1"": 8650}","{""1-7"": 1530}","{""1-3"": 140, ""1-7"": 350, ""3-7"": 360}",{},{},1784031000.0,1784030700.0,7-1-3,True,False,21738.0,True,締切前予想,0.0,-500.0
2026-07-14,京王閣,4,042720260714,trifecta,3連単,3,2-3-1,0.0831585554342912,121.8,913,True,400,48720.0,48320.0,400,3652.0,False,external holdout ROI target was not met,shadow_bets_20260714.csv,2026-07-14T15:02:42+09:00,3-5-2,15.9,3,1784033960,https://www.winticket.jp/keirin/keiokaku/racecard/2026071327/2/4,2-3-5,3-5,3-5,3-5,3-5,2-3|2-5|3-5,"{""3-5-2"": 1590}","{""2-3-5"": 690}","{""3-5"": 640}","{""3-5"": 400}","{""2-3"": 250, ""2-5"": 780, ""3-5"": 230}",{},{},1784033400.0,1784033100.0,3-5-2,True,False,24138.0,True,締切前予想,0.0,-400.0
2026-07-14,京王閣,9,092720260714,exacta,2車単,2,1-2,0.2184622695767722,45.0,883,True,300,13500.0,13200.0,300,2649.0,False,external holdout ROI target was not met,shadow_bets_20260714.csv,2026-07-14T15:02:42+09:00,3-4-1,293.4,3,1784040001,https://www.winticket.jp/keirin/keiokaku/racecard/2026071327/2/9,1-3-4,3-4,3-4,3-4,3-4,1-3|1-4|3-4,"{""3-4-1"": 29340}","{""1-3-4"": 600}","{""3-4"": 10190}","{""3-4"": 8590}","{""1-3"": 150, ""1-4"": 240, ""3-4"": 640}",{},{},1784039400.0,1784039100.0,3-4,True,False,30138.0,True,締切前予想,0.0,-300.0
2026-07-14,佐世保,8,088520260714,exacta,2車単,2,3-5,0.1549241751078172,58.1,800,True,300,17430.0,17130.0,300,2400.0,False,external holdout ROI target was not met,shadow_bets_20260714.csv,2026-07-14T15:02:42+09:00,3-1-4,13.5,3,1784023479,https://www.winticket.jp/keirin/sasebo/racecard/2026071385/2/8,1-3-4,3-1,1-3,3-1,1-3,1-3|1-4|3-4,"{""3-1-4"": 1350}","{""1-3-4"": 290}","{""3-1"": 800}","{""1-3"": 400}","{""1-3"": 140, ""1-4"": 270, ""3-4"": 130}",{},{},1784022480.0,1784022180.0,3-1,True,False,13218.0,True,締切前予想,0.0,-300.0
2026-07-14,佐世保,9,098520260714,quinella_place,ワイド,4,2-7,0.2172428512348569,30.7,567,True,200,6140.0,5940.0,200,1134.0,False,external holdout ROI target was not met,shadow_bets_20260714.csv,2026-07-14T15:02:42+09:00,3-6-4,24.8,3,1784024839,https://www.winticket.jp/keirin/sasebo/racecard/2026071385/2/9,3-4-6,3-6,3-6,3-6,3-6,3-4|3-6|4-6,"{""3-6-4"": 2480}","{""3-4-6"": 900}","{""3-6"": 810}","{""3-6"": 450}","{""3-4"": 510, ""3-6"": 220, ""4-6"": 660}",{},{},1784023920.0,1784023620.0,3-4|3-6|4-6,True,False,14658.0,True,締切前予想,0.0,-200.0
